País,sedes,secciones_promedio,pbi
Brazil,5,3.6,8917.674911
United States,4,7.5,76329.58227
China,3,5.666666666666667,12720.21632
Spain,3,5.333333333333333,29674.54429
Australia,2,4.0,65099.84591
Belgium,2,5.5,49926.82543
Bolivia,2,7.5,3600.121635
Canada,2,3.5,54917.66252
Ecuador,2,5.0,6391.282484
Germany,2,7.0,48717.99114
India,2,3.5,2410.888021
Israel,2,2.5,54930.93881
Italy,2,6.5,34776.42323
Mexico,2,5.0,11496.52287
Algeria,1,6.0,4342.637968
Angola,1,6.0,3000.444231
Armenia,1,3.0,7018.051504
Austria,1,11.0,52084.6812
Azerbaijan,1,5.0,7762.073829
Barbados,1,7.0,20238.78424
Chile,1,14.0,15355.47974
Colombia,1,7.0,6624.165393
Costa Rica,1,2.0,13365.3564
Cuba,1,5.0,56495.85349
Czechia,1,5.0,27223.04519
Denmark,1,4.0,67790.05399
Dominican Republic,1,3.0,10111.24571
"Egypt, Arab Rep.",1,6.0,4295.407496
El Salvador,1,5.0,5127.321668
Ethiopia,1,4.0,1027.585911
Finland,1,2.0,50916.28047
France,1,9.0,40886.25327
Greece,1,4.0,20867.26909
Guatemala,1,3.0,5473.208564
Haiti,1,7.0,1748.257132
Honduras,1,4.0,3040.173046
Hungary,1,5.0,18390.185
Indonesia,1,5.0,4787.999308
"Iran, Islamic Rep.",1,1.0,4669.57138
Ireland,1,4.0,103983.2913
Jamaica,1,3.0,6047.216457
Japan,1,6.0,33823.57073
Kenya,1,6.0,2099.301938
"Korea, Rep.",1,5.0,32422.57449
Kuwait,1,5.0,41079.5227
Libya,1,2.0,6716.095985
Malaysia,1,3.0,11993.18761
Morocco,1,5.0,3441.991455
Mozambique,1,8.0,558.2986064
Netherlands,1,4.0,57025.01246
New Zealand,1,3.0,48418.59166
Nicaragua,1,1.0,2255.425995
Nigeria,1,6.0,2162.633734
Norway,1,3.0,106177.1972
Pakistan,1,2.0,1588.879829
Panama,1,4.0,17357.62863
Peru,1,7.0,7125.829931
Philippines,1,4.0,3498.509806
Poland,1,3.0,18688.00449
Portugal,1,5.0,24515.26585
Qatar,1,5.0,87661.45015
Romania,1,2.0,15786.80174
Russian Federation,1,13.0,15270.70605
Serbia,1,4.0,9537.682867
Singapore,1,4.0,82807.62906
South Africa,1,4.0,6766.481254
Suriname,1,6.0,5858.824661
Sweden,1,4.0,56373.78858
